City,Population,Car,Transit,log_pop
"New York, NY",8443556,0.45140254741230484,0.5641242144489241,6.926525388086622
"Los Angeles, CA",3909278,0.871984985374599,0.10457358361734187,6.592096555459876
"Chicago, IL",2719231,0.7312993757118676,0.2706704419700995,6.434446102682754
"Houston, TX",3011092,0.9239175961547332,0.03564424942072689,6.478724025018551
"Phoenix, AZ",1572648,0.9128313790932912,0.0357010068059245,6.196631526968676
"Philadelphia, PA",1556863,0.6904667090063338,0.2705618890514083,6.192250397435304
"San Antonio, TX",1563783,0.9174400422012472,0.0333814261287416,6.194176487572257
"San Diego, CA",1414988,0.9319427784001348,0.04019527351239821,6.150752756781948
"Dallas, TX",1373857,0.9064799243724388,0.043310411721486954,6.137941530872803
"San Jose, CA",1058721,0.9465584082656968,0.04079236630937293,6.0247815275064465
"Austin, TX",1002107,0.9391256310709408,0.0360605625300794,6.00091409581125
"Jacksonville, FL",863631,0.914837506577591,0.024753764618319136,5.936328222924939
"Fort Worth, TX",864162,0.941506466917868,0.009455393140349941,5.936595165061122
"Columbus, OH",913711,0.90832397011314,0.03389820860058072,5.960808853335262
"San Francisco, CA",847192,0.6962113449093895,0.3328580569340379,5.927981846093457
"Charlotte, NC",837550,0.9272756611162485,0.03872058092053422,5.923010742963713
"Denver, CO",663303,0.8955997039904366,0.06965118673579848,5.821711961538538
"Seattle, WA",671409,0.832447347600646,0.2046358471869253,5.826987158514823
"Washington, DC",659009,0.6360243865396715,0.36754524247852505,5.818891345737632
"El Paso, TX",695342,0.9210506566604127,0.01860234275762761,5.842198462403525
"Boston, MA",650779,0.6524795619312047,0.33980886382530184,5.8134335302339855
"Oklahoma City, OK",646299,0.9357309900945648,0.006076080522684758,5.8104334839517335
"Detroit, MI",682428,0.7479832982461602,0.08620946177364171,5.834056837614365
"Las Vegas, NV",628350,0.9001523882301196,0.04597856199595153,5.798201619416901
"Portland, OR",646081,0.8586429360943809,0.11688220443558496,5.81028696946226
"Memphis, TN",679394,0.8844485808772204,0.025177276610321674,5.832121707122767
"Baltimore, MD",614829,0.706684946893738,0.20462791692779594,5.788754343933341
"Milwaukee, WI",598924,0.8146449223572217,0.09343273440833738,5.777371716421539
"Albuquerque, NM",587464,0.9286320015922052,0.020841858248813717,5.76898125804099
"Tucson, AZ",570382,0.8789148674150136,0.04196400844738226,5.756165811682481
"Fresno, CA",561054,0.8874195834240025,0.020946097772820825,5.749004662991267
"Mesa, AZ",497070,0.9301772377904065,0.021252716705404434,5.696417552663002
"Kansas City, MO",495117,0.8932799188047117,0.03402915461931344,5.694707838226943
"Sacramento, CA",505105,0.8991153944891322,0.0363563719369098,5.7033816675851305
"Atlanta, GA",474689,0.833876172153126,0.11877786955692135,5.6764091678998385
"Omaha, NE",502991,0.919886615650507,0.014500350258900965,5.701560214309793
"Colorado Springs, CO",478093,0.9462606382978723,0.009989191002736746,5.679512385018465
"Raleigh, NC",461563,0.9425096828363262,0.020887404773779247,5.664230987452974
"Long Beach, CA",469788,0.8928250085112592,0.07272864281135162,5.671901919209696
"Miami, FL",435610,0.7970171890798786,0.12356437292229747,5.639097840998727
"Virginia Beach, VA",449733,0.960497644902662,0.008563482984203463,5.652954755907016
"Minneapolis, MN",404670,0.8235425758084368,0.13457503157053927,5.607101009389372
"Oakland, CA",411957,0.8295551067404066,0.2017521614342969,5.6148518868163455
"Tulsa, OK",420486,0.9146374702072013,0.012129203474599594,5.6237515406239105
"Wichita, KS",392464,0.9306090727412845,0.0074795185048327105,5.593799825875174
"Arlington, TX",396445,0.9541380297823597,0.002562797603205704,5.598182944860861
"Tampa, FL",378426,0.8914798853402077,0.03193610981020929,5.5779809672345655
"Bakersfield, CA",455022,0.9382583156303911,0.010780307196506243,5.658032395003534
"New Orleans, LA",381002,0.8092919325256387,0.0850441202157981,5.580927255430695
"Cleveland, OH",388504,0.7490841394502442,0.11788138741824196,5.589395494614371
"Aurora, CO",363482,0.9340414503763644,0.057855874505862236,5.560482909021105
"Anaheim, CA",389933,0.9400879019199629,0.03781522802648441,5.590989991052155
"Santa Ana, CA",354473,0.931638870681912,0.061715811134225584,5.5495831608235155
"Corpus Christi, TX",313723,0.9156189196499464,0.019816794499568247,5.496546359331857
"Riverside, CA",347181,0.9407603094073029,0.022869442549857802,5.540555949739067
"Stockton, CA",324770,0.9001986390276522,0.015210707562276046,5.511575905309916
"Henderson, NV",305700,0.9616310652991629,0.014070399186905624,5.485295438726089
"St. Louis, MO",316030,0.7862842216449227,0.11714589324893432,5.4997283111501725
"Cincinnati, OH",305692,0.7891154989752028,0.09594310687364721,5.485284073330875
"Pittsburgh, PA",297173,0.7637765629000437,0.17607289083924493,5.473009348548556
"Plano, TX",291171,0.96865420745575,0.012575967177433523,5.46414811800656
"St. Paul, MN",297160,0.8606390633466878,0.08912105051976908,5.4729903496766585
"Orlando, FL",340544,0.9121740345098847,0.050991050234636924,5.53217323290861
"Lincoln, NE",267658,0.9319720462983184,0.013048622028552462,5.427580228492596
"Greensboro, NC",308441,0.9265957873620863,0.01844357912547807,5.489172102486103
"Newark, NJ",273624,0.6090295036003314,0.27203683916700405,5.4371541873844835
"Jersey City, NJ",261666,0.6193832068425491,0.45829131909143983,5.4177472955414245
"Chandler, AZ",247575,0.9635847960543551,0.009519151596968587,5.393706787722012
"Durham, NC",269456,0.9068070137264501,0.04836661333967438,5.430487858512411
"Irvine, CA",254589,0.958861575486699,0.015446791274874989,5.405839635207251
"Toledo, OH",286714,0.8577079687849862,0.028993199378916087,5.457448899693261
"Chula Vista, CA",284082,0.95010879516783,0.030055977345976804,5.453443716833359
"Laredo, TX",251481,0.9272428641186132,0.011583408978364481,5.400505178629074
"Reno, NV",265243,0.9052170488275809,0.026545320414557948,5.4236439313048095
"St. Petersburg, FL",260600,0.8998286422633804,0.026761233363221597,5.415974411376566
"Fort Wayne, IN",278103,0.9235626724566879,0.012162790549085208,5.444205673784758
"Madison, WI",258636,0.8843002725129904,0.09122348743754373,5.4126889749650795
"Lubbock, TX",250757,0.9388701342002167,0.010556053864929507,5.399253065397104
"Buffalo, NY",256961,0.7127238574606996,0.13115825646225981,5.40986721372015
"North Las Vegas, NV",235085,0.9361481544601139,0.03157149358945803,5.3712249191076875
"Scottsdale, AZ",235729,0.9574951914421883,0.011814651743403624,5.37241301385753
"Winston-Salem, NC",254443,0.9017251061565896,0.019163754151933648,5.405590507466376
"Irving, TX",232245,0.9492968740760015,0.01955678873973932,5.365946372845295
"Chesapeake, VA",233194,0.9572741695227254,0.007455440534109319,5.367717371985717
"Louisville, KY",271661,0.8182603587103017,0.07014259715241429,5.43402729502253
"Garland, TX",255458,0.9490719564746383,0.026182850832812903,5.407319507728608
"Norfolk, VA",240520,0.8707862572491394,0.04850901396167515,5.381151195173461
"Glendale, AZ",247451,0.9102349689831454,0.028159575220003973,5.393489213223369
"Boise City, ID",219133,0.9427726697501484,0.007131273120098631,5.340707784401038
"Hialeah, FL",244965,0.8778207342820323,0.02066006357142757,5.3891040378636905
"Baton Rouge, LA",252654,0.9028757957249487,0.028481899045422514,5.402526178347754
"Spokane, WA",230595,0.8964025141341082,0.04026982217042593,5.362849886237295
"Fremont, CA",230494,0.9544788273615635,0.09551020951341141,5.362659624733014
"Richmond, VA",214682,0.8317633040311158,0.0639333426871666,5.33179563256673
"Des Moines, IA",218633,0.9116972745350334,0.02089310147150851,5.339715714046662
"Santa Clarita, CA",221388,0.9605873369481457,0.028746291874546706,5.345154076908458
"Tacoma, WA",213618,0.9001099268747311,0.05019255913034748,5.32963784466416
"San Bernardino, CA",264596,0.8930691390129459,0.026409170303502132,5.422583274503567
"Fontana, CA",226111,0.9640979018485837,0.019615478315124932,5.35432169070934
"Birmingham, AL",278303,0.882387391266902,0.023307161249714096,5.444517887887846
"Modesto, CA",226195,0.9195904705650718,0.015362325022539177,5.354483000693728
